agent,task_id,success
meta-llama__Llama-2-13b-hf,48,0.0
meta-llama__Llama-2-13b-hf,49,0.0
meta-llama__Llama-2-13b-hf,50,1.0
meta-llama__Llama-2-13b-hf,51,1.0
meta-llama__Llama-2-13b-hf,52,1.0
meta-llama__Llama-2-13b-hf,53,1.0
meta-llama__Llama-2-13b-hf,54,1.0
meta-llama__Llama-2-13b-hf,55,1.0
meta-llama__Llama-2-13b-hf,56,0.0
meta-llama__Llama-2-13b-hf,57,1.0
meta-llama__Llama-2-13b-hf,58,1.0
meta-llama__Llama-2-13b-hf,59,1.0
meta-llama__Llama-2-13b-hf,60,1.0
meta-llama__Llama-2-13b-hf,61,1.0
meta-llama__Llama-2-13b-hf,62,1.0
meta-llama__Llama-2-13b-hf,63,0.0
meta-llama__Llama-2-13b-hf,64,1.0
meta-llama__Llama-2-13b-hf,65,1.0
meta-llama__Llama-2-13b-hf,66,1.0
meta-llama__Llama-2-13b-hf,67,1.0
meta-llama__Llama-2-13b-hf,68,1.0
meta-llama__Llama-2-13b-hf,69,1.0
meta-llama__Llama-2-13b-hf,70,0.0
meta-llama__Llama-2-13b-hf,71,1.0
meta-llama__Llama-2-13b-hf,72,1.0
meta-llama__Llama-2-13b-hf,73,1.0
meta-llama__Llama-2-13b-hf,74,1.0
meta-llama__Llama-2-13b-hf,75,1.0
meta-llama__Llama-2-13b-hf,76,0.0
meta-llama__Llama-2-13b-hf,77,1.0
meta-llama__Llama-2-13b-hf,78,1.0
meta-llama__Llama-2-13b-hf,79,1.0
meta-llama__Llama-2-13b-hf,80,0.0
meta-llama__Llama-2-13b-hf,81,1.0
meta-llama__Llama-2-13b-hf,82,1.0
meta-llama__Llama-2-13b-hf,83,1.0
meta-llama__Llama-2-13b-hf,84,1.0
meta-llama__Llama-2-13b-hf,85,1.0
meta-llama__Llama-2-13b-hf,86,1.0
meta-llama__Llama-2-13b-hf,87,1.0
meta-llama__Llama-2-13b-hf,88,1.0
meta-llama__Llama-2-13b-hf,89,1.0
meta-llama__Llama-2-13b-hf,90,1.0
meta-llama__Llama-2-13b-hf,91,1.0
meta-llama__Llama-2-13b-hf,92,1.0
meta-llama__Llama-2-13b-hf,93,1.0
meta-llama__Llama-2-13b-hf,94,1.0
meta-llama__Llama-2-13b-hf,95,1.0
meta-llama__Llama-2-13b-hf,96,1.0
meta-llama__Llama-2-13b-hf,97,1.0
meta-llama__Llama-2-13b-hf,98,1.0
meta-llama__Llama-2-13b-hf,99,1.0
meta-llama__Llama-2-13b-hf,100,1.0
meta-llama__Llama-2-13b-hf,101,0.0
meta-llama__Llama-2-13b-hf,102,0.0
meta-llama__Llama-2-13b-hf,103,1.0
meta-llama__Llama-2-13b-hf,104,1.0
meta-llama__Llama-2-13b-hf,105,1.0
meta-llama__Llama-2-13b-hf,106,1.0
meta-llama__Llama-2-13b-hf,107,1.0
meta-llama__Llama-2-13b-hf,108,1.0
meta-llama__Llama-2-13b-hf,109,1.0
meta-llama__Llama-2-13b-hf,110,1.0
meta-llama__Llama-2-13b-hf,111,1.0
meta-llama__Llama-2-13b-hf,112,1.0
meta-llama__Llama-2-13b-hf,113,1.0
meta-llama__Llama-2-13b-hf,114,1.0
meta-llama__Llama-2-13b-hf,115,1.0
meta-llama__Llama-2-13b-hf,116,1.0
meta-llama__Llama-2-13b-hf,117,1.0
meta-llama__Llama-2-13b-hf,118,1.0
meta-llama__Llama-2-13b-hf,119,1.0
meta-llama__Llama-2-13b-hf,120,1.0
meta-llama__Llama-2-13b-hf,121,1.0
meta-llama__Llama-2-13b-hf,122,1.0
meta-llama__Llama-2-13b-hf,123,0.0
meta-llama__Llama-2-13b-hf,124,1.0
meta-llama__Llama-2-13b-hf,125,1.0
meta-llama__Llama-2-13b-hf,126,1.0
meta-llama__Llama-2-13b-hf,127,0.0
meta-llama__Llama-2-13b-hf,128,0.0
meta-llama__Llama-2-13b-hf,129,1.0
meta-llama__Llama-2-13b-hf,130,1.0
meta-llama__Llama-2-13b-hf,131,1.0
meta-llama__Llama-2-13b-hf,132,1.0
meta-llama__Llama-2-13b-hf,133,1.0
meta-llama__Llama-2-13b-hf,134,1.0
meta-llama__Llama-2-13b-hf,135,1.0
meta-llama__Llama-2-13b-hf,136,1.0
meta-llama__Llama-2-13b-hf,137,1.0
meta-llama__Llama-2-13b-hf,138,1.0
meta-llama__Llama-2-13b-hf,139,1.0
meta-llama__Llama-2-13b-hf,140,1.0
meta-llama__Llama-2-13b-hf,141,1.0
meta-llama__Llama-2-13b-hf,142,1.0
meta-llama__Llama-2-13b-hf,143,1.0
meta-llama__Llama-2-13b-hf,144,0.0
meta-llama__Llama-2-13b-hf,145,1.0
meta-llama__Llama-2-13b-hf,146,1.0
meta-llama__Llama-2-13b-hf,147,1.0
meta-llama__Llama-2-13b-hf,148,1.0
meta-llama__Llama-2-13b-hf,149,0.0
meta-llama__Llama-2-13b-hf,150,1.0
meta-llama__Llama-2-13b-hf,151,1.0
meta-llama__Llama-2-13b-hf,152,1.0
meta-llama__Llama-2-13b-hf,153,1.0
meta-llama__Llama-2-13b-hf,154,0.0
meta-llama__Llama-2-13b-hf,155,1.0
meta-llama__Llama-2-13b-hf,156,1.0
meta-llama__Llama-2-13b-hf,157,1.0
meta-llama__Llama-2-13b-hf,158,0.0
meta-llama__Llama-2-13b-hf,159,1.0
meta-llama__Llama-2-13b-hf,160,0.0
meta-llama__Llama-2-13b-hf,161,0.0
meta-llama__Llama-2-13b-hf,162,0.0
meta-llama__Llama-2-13b-hf,163,1.0
meta-llama__Llama-2-13b-hf,164,1.0
meta-llama__Llama-2-13b-hf,165,1.0
meta-llama__Llama-2-13b-hf,166,1.0
meta-llama__Llama-2-13b-hf,167,1.0
meta-llama__Llama-2-13b-hf,168,1.0
meta-llama__Llama-2-13b-hf,169,1.0
meta-llama__Llama-2-13b-hf,170,1.0
meta-llama__Llama-2-13b-hf,171,1.0
meta-llama__Llama-2-13b-hf,172,1.0
meta-llama__Llama-2-13b-hf,173,1.0
meta-llama__Llama-2-13b-hf,174,1.0
meta-llama__Llama-2-13b-hf,175,1.0
meta-llama__Llama-2-13b-hf,176,1.0
meta-llama__Llama-2-13b-hf,177,1.0
meta-llama__Llama-2-13b-hf,178,1.0
meta-llama__Llama-2-13b-hf,179,1.0
meta-llama__Llama-2-13b-hf,180,1.0
meta-llama__Llama-2-13b-hf,181,0.0
meta-llama__Llama-2-13b-hf,182,0.0
meta-llama__Llama-2-13b-hf,183,1.0
meta-llama__Llama-2-13b-hf,184,1.0
meta-llama__Llama-2-13b-hf,185,1.0
meta-llama__Llama-2-13b-hf,186,1.0
meta-llama__Llama-2-13b-hf,187,0.0
meta-llama__Llama-2-13b-hf,188,1.0
meta-llama__Llama-2-13b-hf,189,1.0
meta-llama__Llama-2-13b-hf,190,1.0
meta-llama__Llama-2-13b-hf,191,1.0
meta-llama__Llama-2-13b-hf,192,1.0
meta-llama__Llama-2-13b-hf,193,1.0
meta-llama__Llama-2-13b-hf,194,1.0
meta-llama__Llama-2-13b-hf,195,0.0
meta-llama__Llama-2-13b-hf,196,0.0
meta-llama__Llama-2-13b-hf,197,1.0
meta-llama__Llama-2-13b-hf,198,1.0
meta-llama__Llama-2-13b-hf,199,1.0
meta-llama__Llama-2-13b-hf,200,1.0
meta-llama__Llama-2-13b-hf,201,1.0
meta-llama__Llama-2-13b-hf,202,1.0
meta-llama__Llama-2-13b-hf,203,0.0
meta-llama__Llama-2-13b-hf,204,0.0
meta-llama__Llama-2-13b-hf,205,1.0
meta-llama__Llama-2-13b-hf,206,1.0
meta-llama__Llama-2-13b-hf,207,1.0
meta-llama__Llama-2-13b-hf,208,1.0
meta-llama__Llama-2-13b-hf,209,1.0
meta-llama__Llama-2-13b-hf,210,0.0
meta-llama__Llama-2-13b-hf,211,1.0
meta-llama__Llama-2-13b-hf,212,1.0
meta-llama__Llama-2-13b-hf,213,1.0
meta-llama__Llama-2-13b-hf,214,1.0
meta-llama__Llama-2-13b-hf,215,0.0
meta-llama__Llama-2-13b-hf,216,1.0
meta-llama__Llama-2-13b-hf,217,1.0
meta-llama__Llama-2-13b-hf,218,0.0
meta-llama__Llama-2-13b-hf,219,1.0
meta-llama__Llama-2-13b-hf,220,0.0
meta-llama__Llama-2-13b-hf,221,1.0
meta-llama__Llama-2-13b-hf,222,0.0
meta-llama__Llama-2-13b-hf,223,1.0
meta-llama__Llama-2-13b-hf,224,1.0
meta-llama__Llama-2-13b-hf,225,1.0
meta-llama__Llama-2-13b-hf,226,0.0
meta-llama__Llama-2-13b-hf,227,1.0
meta-llama__Llama-2-13b-hf,228,1.0
meta-llama__Llama-2-13b-hf,229,1.0
meta-llama__Llama-2-13b-hf,230,1.0
meta-llama__Llama-2-13b-hf,231,1.0
meta-llama__Llama-2-13b-hf,232,1.0
meta-llama__Llama-2-13b-hf,233,0.0
meta-llama__Llama-2-13b-hf,234,1.0
meta-llama__Llama-2-13b-hf,235,1.0
meta-llama__Llama-2-13b-hf,236,1.0
meta-llama__Llama-2-13b-hf,237,0.0
meta-llama__Llama-2-13b-hf,238,1.0
meta-llama__Llama-2-13b-hf,239,1.0
meta-llama__Llama-2-13b-hf,240,0.0
meta-llama__Llama-2-13b-hf,241,1.0
meta-llama__Llama-2-13b-hf,242,1.0
meta-llama__Llama-2-13b-hf,243,1.0
meta-llama__Llama-2-13b-hf,244,0.0
meta-llama__Llama-2-13b-hf,245,1.0
meta-llama__Llama-2-13b-hf,246,1.0
meta-llama__Llama-2-13b-hf,247,0.0
meta-llama__Llama-2-13b-hf,248,1.0
meta-llama__Llama-2-13b-hf,249,1.0
meta-llama__Llama-2-13b-hf,250,1.0
meta-llama__Llama-2-13b-hf,251,1.0
meta-llama__Llama-2-13b-hf,252,1.0
meta-llama__Llama-2-13b-hf,253,1.0
meta-llama__Llama-2-13b-hf,254,1.0
meta-llama__Llama-2-13b-hf,255,1.0
meta-llama__Llama-2-13b-hf,256,1.0
meta-llama__Llama-2-13b-hf,257,1.0
meta-llama__Llama-2-13b-hf,258,1.0
meta-llama__Llama-2-13b-hf,259,1.0
meta-llama__Llama-2-13b-hf,260,1.0
meta-llama__Llama-2-13b-hf,261,1.0
meta-llama__Llama-2-13b-hf,262,1.0
meta-llama__Llama-2-13b-hf,263,0.0
meta-llama__Llama-2-13b-hf,264,1.0
meta-llama__Llama-2-13b-hf,265,1.0
meta-llama__Llama-2-13b-hf,266,1.0
meta-llama__Llama-2-13b-hf,267,1.0
meta-llama__Llama-2-13b-hf,268,1.0
meta-llama__Llama-2-13b-hf,269,1.0
meta-llama__Llama-2-13b-hf,270,1.0
meta-llama__Llama-2-13b-hf,271,1.0
meta-llama__Llama-2-13b-hf,272,1.0
meta-llama__Llama-2-13b-hf,273,0.0
meta-llama__Llama-2-13b-hf,274,1.0
meta-llama__Llama-2-13b-hf,275,1.0
meta-llama__Llama-2-13b-hf,276,1.0
meta-llama__Llama-2-13b-hf,277,1.0
meta-llama__Llama-2-13b-hf,278,1.0
meta-llama__Llama-2-13b-hf,279,1.0
meta-llama__Llama-2-13b-hf,280,1.0
meta-llama__Llama-2-13b-hf,281,1.0
meta-llama__Llama-2-13b-hf,282,1.0
meta-llama__Llama-2-13b-hf,283,1.0
meta-llama__Llama-2-13b-hf,284,1.0
meta-llama__Llama-2-13b-hf,285,1.0
meta-llama__Llama-2-13b-hf,286,1.0
meta-llama__Llama-2-13b-hf,287,1.0
meta-llama__Llama-2-13b-hf,288,1.0
meta-llama__Llama-2-13b-hf,289,0.0
meta-llama__Llama-2-13b-hf,290,1.0
meta-llama__Llama-2-13b-hf,291,1.0
meta-llama__Llama-2-13b-hf,292,0.0
meta-llama__Llama-2-13b-hf,293,1.0
meta-llama__Llama-2-13b-hf,294,1.0
meta-llama__Llama-2-13b-hf,295,1.0
meta-llama__Llama-2-13b-hf,296,1.0
meta-llama__Llama-2-13b-hf,297,1.0
meta-llama__Llama-2-13b-hf,298,1.0
meta-llama__Llama-2-13b-hf,299,1.0
meta-llama__Llama-2-13b-hf,300,1.0
meta-llama__Llama-2-13b-hf,301,1.0
meta-llama__Llama-2-13b-hf,302,1.0
meta-llama__Llama-2-13b-hf,303,0.0
meta-llama__Llama-2-13b-hf,304,1.0
meta-llama__Llama-2-13b-hf,305,0.0
meta-llama__Llama-2-13b-hf,306,1.0
meta-llama__Llama-2-13b-hf,307,1.0
meta-llama__Llama-2-13b-hf,308,1.0
meta-llama__Llama-2-13b-hf,309,1.0
meta-llama__Llama-2-13b-hf,310,1.0
meta-llama__Llama-2-13b-hf,311,1.0
meta-llama__Llama-2-13b-hf,312,1.0
meta-llama__Llama-2-13b-hf,313,1.0
meta-llama__Llama-2-13b-hf,314,1.0
meta-llama__Llama-2-13b-hf,315,1.0
meta-llama__Llama-2-13b-hf,316,0.0
meta-llama__Llama-2-13b-hf,317,1.0
meta-llama__Llama-2-13b-hf,318,1.0
meta-llama__Llama-2-13b-hf,319,1.0
meta-llama__Llama-2-13b-hf,320,0.0
meta-llama__Llama-2-13b-hf,321,1.0
meta-llama__Llama-2-13b-hf,322,1.0
meta-llama__Llama-2-13b-hf,323,0.0
meta-llama__Llama-2-13b-hf,324,1.0
meta-llama__Llama-2-13b-hf,325,1.0
meta-llama__Llama-2-13b-hf,326,1.0
meta-llama__Llama-2-13b-hf,327,1.0
meta-llama__Llama-2-13b-hf,328,0.0
meta-llama__Llama-2-13b-hf,329,1.0
meta-llama__Llama-2-13b-hf,330,1.0
meta-llama__Llama-2-13b-hf,331,1.0
meta-llama__Llama-2-13b-hf,332,0.0
meta-llama__Llama-2-13b-hf,333,1.0
meta-llama__Llama-2-13b-hf,334,1.0
meta-llama__Llama-2-13b-hf,335,0.0
meta-llama__Llama-2-13b-hf,336,1.0
meta-llama__Llama-2-13b-hf,337,1.0
meta-llama__Llama-2-13b-hf,338,1.0
meta-llama__Llama-2-13b-hf,339,1.0
meta-llama__Llama-2-13b-hf,340,1.0
meta-llama__Llama-2-13b-hf,341,0.0
meta-llama__Llama-2-13b-hf,342,1.0
meta-llama__Llama-2-13b-hf,343,0.0
meta-llama__Llama-2-13b-hf,344,1.0
meta-llama__Llama-2-13b-hf,345,1.0
meta-llama__Llama-2-13b-hf,346,1.0
meta-llama__Llama-2-13b-hf,347,1.0
meta-llama__Llama-2-13b-hf,348,0.0
meta-llama__Llama-2-13b-hf,349,1.0
meta-llama__Llama-2-13b-hf,350,1.0
meta-llama__Llama-2-13b-hf,351,1.0
meta-llama__Llama-2-13b-hf,352,1.0
meta-llama__Llama-2-13b-hf,353,1.0
meta-llama__Llama-2-13b-hf,354,1.0
meta-llama__Llama-2-13b-hf,355,1.0
meta-llama__Llama-2-13b-hf,356,1.0
meta-llama__Llama-2-13b-hf,357,0.0
meta-llama__Llama-2-13b-hf,358,1.0
meta-llama__Llama-2-13b-hf,359,1.0
meta-llama__Llama-2-13b-hf,360,1.0
meta-llama__Llama-2-13b-hf,361,1.0
meta-llama__Llama-2-13b-hf,362,1.0
meta-llama__Llama-2-13b-hf,363,0.0
meta-llama__Llama-2-13b-hf,364,0.0
meta-llama__Llama-2-13b-hf,365,1.0
meta-llama__Llama-2-13b-hf,366,0.0
meta-llama__Llama-2-13b-hf,367,1.0
meta-llama__Llama-2-13b-hf,368,1.0
meta-llama__Llama-2-13b-hf,369,1.0
meta-llama__Llama-2-13b-hf,370,1.0
meta-llama__Llama-2-13b-hf,371,1.0
meta-llama__Llama-2-13b-hf,372,1.0
meta-llama__Llama-2-13b-hf,373,1.0
meta-llama__Llama-2-13b-hf,374,0.0
meta-llama__Llama-2-13b-hf,375,1.0
meta-llama__Llama-2-13b-hf,376,1.0
meta-llama__Llama-2-13b-hf,377,1.0
meta-llama__Llama-2-13b-hf,378,1.0
meta-llama__Llama-2-13b-hf,379,1.0
meta-llama__Llama-2-13b-hf,380,1.0
meta-llama__Llama-2-13b-hf,381,1.0
meta-llama__Llama-2-13b-hf,382,1.0
meta-llama__Llama-2-13b-hf,383,1.0
meta-llama__Llama-2-13b-hf,384,1.0
meta-llama__Llama-2-13b-hf,385,1.0
meta-llama__Llama-2-13b-hf,386,1.0
meta-llama__Llama-2-13b-hf,387,0.0
meta-llama__Llama-2-13b-hf,388,1.0
meta-llama__Llama-2-13b-hf,389,0.0
meta-llama__Llama-2-13b-hf,390,1.0
meta-llama__Llama-2-13b-hf,391,1.0
meta-llama__Llama-2-13b-hf,392,0.0
meta-llama__Llama-2-13b-hf,393,1.0
meta-llama__Llama-2-13b-hf,394,1.0
meta-llama__Llama-2-13b-hf,395,1.0
meta-llama__Llama-2-13b-hf,396,1.0
meta-llama__Llama-2-13b-hf,397,1.0
meta-llama__Llama-2-13b-hf,398,1.0
meta-llama__Llama-2-13b-hf,399,1.0
meta-llama__Llama-2-13b-hf,400,1.0
meta-llama__Llama-2-13b-hf,401,1.0
meta-llama__Llama-2-13b-hf,402,1.0
meta-llama__Llama-2-13b-hf,403,0.0
meta-llama__Llama-2-13b-hf,404,1.0
meta-llama__Llama-2-13b-hf,405,1.0
meta-llama__Llama-2-13b-hf,406,0.0
meta-llama__Llama-2-13b-hf,407,1.0
meta-llama__Llama-2-13b-hf,408,1.0
meta-llama__Llama-2-13b-hf,409,1.0
meta-llama__Llama-2-13b-hf,410,0.0
meta-llama__Llama-2-13b-hf,411,1.0
meta-llama__Llama-2-13b-hf,412,1.0
meta-llama__Llama-2-13b-hf,413,1.0
meta-llama__Llama-2-13b-hf,414,1.0
meta-llama__Llama-2-13b-hf,415,1.0
meta-llama__Llama-2-13b-hf,416,1.0
meta-llama__Llama-2-13b-hf,417,1.0
meta-llama__Llama-2-13b-hf,418,1.0
meta-llama__Llama-2-13b-hf,419,1.0
meta-llama__Llama-2-13b-hf,420,1.0
meta-llama__Llama-2-13b-hf,421,1.0
meta-llama__Llama-2-13b-hf,422,1.0
meta-llama__Llama-2-13b-hf,423,0.0
meta-llama__Llama-2-13b-hf,424,1.0
meta-llama__Llama-2-13b-hf,425,1.0
meta-llama__Llama-2-13b-hf,426,1.0
meta-llama__Llama-2-13b-hf,427,1.0
meta-llama__Llama-2-13b-hf,428,1.0
meta-llama__Llama-2-13b-hf,429,1.0
meta-llama__Llama-2-13b-hf,430,1.0
meta-llama__Llama-2-13b-hf,431,1.0
meta-llama__Llama-2-13b-hf,432,0.0
meta-llama__Llama-2-13b-hf,433,1.0
meta-llama__Llama-2-13b-hf,434,1.0
meta-llama__Llama-2-13b-hf,435,1.0
meta-llama__Llama-2-13b-hf,436,1.0
meta-llama__Llama-2-13b-hf,437,1.0
meta-llama__Llama-2-13b-hf,438,0.0
meta-llama__Llama-2-13b-hf,439,0.0
meta-llama__Llama-2-13b-hf,440,1.0
meta-llama__Llama-2-13b-hf,441,1.0
meta-llama__Llama-2-13b-hf,442,1.0
meta-llama__Llama-2-13b-hf,443,1.0
meta-llama__Llama-2-13b-hf,444,1.0
meta-llama__Llama-2-13b-hf,445,0.0
meta-llama__Llama-2-13b-hf,446,1.0
meta-llama__Llama-2-13b-hf,447,1.0
meta-llama__Llama-2-13b-hf,448,1.0
meta-llama__Llama-2-13b-hf,449,0.0
meta-llama__Llama-2-13b-hf,450,1.0
meta-llama__Llama-2-13b-hf,451,0.0
meta-llama__Llama-2-13b-hf,452,1.0
meta-llama__Llama-2-13b-hf,453,1.0
meta-llama__Llama-2-13b-hf,454,1.0
meta-llama__Llama-2-13b-hf,455,1.0
meta-llama__Llama-2-13b-hf,456,1.0
meta-llama__Llama-2-13b-hf,457,1.0
meta-llama__Llama-2-13b-hf,458,1.0
meta-llama__Llama-2-13b-hf,459,1.0
meta-llama__Llama-2-13b-hf,460,1.0
meta-llama__Llama-2-13b-hf,461,1.0
meta-llama__Llama-2-13b-hf,462,0.0
meta-llama__Llama-2-13b-hf,463,1.0
meta-llama__Llama-2-13b-hf,464,1.0
meta-llama__Llama-2-13b-hf,465,0.0
meta-llama__Llama-2-13b-hf,466,1.0
meta-llama__Llama-2-13b-hf,467,1.0
meta-llama__Llama-2-13b-hf,468,1.0
meta-llama__Llama-2-13b-hf,469,1.0
meta-llama__Llama-2-13b-hf,470,1.0
meta-llama__Llama-2-13b-hf,471,1.0
meta-llama__Llama-2-13b-hf,472,1.0
meta-llama__Llama-2-13b-hf,473,1.0
meta-llama__Llama-2-13b-hf,474,1.0
meta-llama__Llama-2-13b-hf,475,1.0
meta-llama__Llama-2-13b-hf,476,1.0
meta-llama__Llama-2-13b-hf,477,0.0
meta-llama__Llama-2-13b-hf,478,1.0
meta-llama__Llama-2-13b-hf,479,1.0
meta-llama__Llama-2-13b-hf,480,1.0
meta-llama__Llama-2-13b-hf,481,0.0
meta-llama__Llama-2-13b-hf,482,0.0
meta-llama__Llama-2-13b-hf,483,1.0
meta-llama__Llama-2-13b-hf,484,0.0
meta-llama__Llama-2-13b-hf,485,1.0
meta-llama__Llama-2-13b-hf,486,1.0
meta-llama__Llama-2-13b-hf,487,1.0
meta-llama__Llama-2-13b-hf,488,1.0
meta-llama__Llama-2-13b-hf,489,1.0
meta-llama__Llama-2-13b-hf,490,0.0
meta-llama__Llama-2-13b-hf,491,1.0
meta-llama__Llama-2-13b-hf,492,1.0
meta-llama__Llama-2-13b-hf,493,1.0
meta-llama__Llama-2-13b-hf,494,1.0
meta-llama__Llama-2-13b-hf,495,1.0
meta-llama__Llama-2-13b-hf,496,1.0
meta-llama__Llama-2-13b-hf,497,1.0
meta-llama__Llama-2-13b-hf,498,1.0
meta-llama__Llama-2-13b-hf,499,1.0
meta-llama__Llama-2-13b-hf,500,0.0
meta-llama__Llama-2-13b-hf,501,1.0
meta-llama__Llama-2-13b-hf,502,1.0
meta-llama__Llama-2-13b-hf,503,1.0
meta-llama__Llama-2-13b-hf,504,1.0
meta-llama__Llama-2-13b-hf,505,1.0
meta-llama__Llama-2-13b-hf,506,1.0
meta-llama__Llama-2-13b-hf,507,1.0
meta-llama__Llama-2-13b-hf,508,0.0
meta-llama__Llama-2-13b-hf,509,1.0
meta-llama__Llama-2-13b-hf,510,1.0
meta-llama__Llama-2-13b-hf,511,1.0
meta-llama__Llama-2-13b-hf,512,0.0
meta-llama__Llama-2-13b-hf,513,1.0
meta-llama__Llama-2-13b-hf,514,1.0
meta-llama__Llama-2-13b-hf,515,1.0
meta-llama__Llama-2-13b-hf,516,1.0
meta-llama__Llama-2-13b-hf,517,1.0
meta-llama__Llama-2-13b-hf,518,1.0
meta-llama__Llama-2-13b-hf,519,1.0
meta-llama__Llama-2-13b-hf,520,1.0
meta-llama__Llama-2-13b-hf,521,0.0
meta-llama__Llama-2-13b-hf,522,1.0
meta-llama__Llama-2-13b-hf,523,1.0
meta-llama__Llama-2-13b-hf,524,1.0
meta-llama__Llama-2-13b-hf,525,0.0
meta-llama__Llama-2-13b-hf,526,0.0
meta-llama__Llama-2-13b-hf,527,1.0
meta-llama__Llama-2-13b-hf,528,1.0
meta-llama__Llama-2-13b-hf,529,1.0
meta-llama__Llama-2-13b-hf,530,1.0
meta-llama__Llama-2-13b-hf,531,0.0
meta-llama__Llama-2-13b-hf,532,1.0
meta-llama__Llama-2-13b-hf,533,1.0
meta-llama__Llama-2-13b-hf,534,0.0
meta-llama__Llama-2-13b-hf,535,0.0
meta-llama__Llama-2-13b-hf,536,1.0
meta-llama__Llama-2-13b-hf,537,1.0
meta-llama__Llama-2-13b-hf,538,1.0
meta-llama__Llama-2-13b-hf,539,1.0
meta-llama__Llama-2-13b-hf,540,1.0
meta-llama__Llama-2-13b-hf,541,1.0
meta-llama__Llama-2-13b-hf,542,1.0
meta-llama__Llama-2-13b-hf,543,0.0
meta-llama__Llama-2-13b-hf,544,1.0
meta-llama__Llama-2-13b-hf,545,1.0
meta-llama__Llama-2-13b-hf,546,1.0
meta-llama__Llama-2-13b-hf,547,1.0
meta-llama__Llama-2-13b-hf,548,1.0
meta-llama__Llama-2-13b-hf,549,0.0
meta-llama__Llama-2-13b-hf,550,1.0
meta-llama__Llama-2-13b-hf,551,1.0
meta-llama__Llama-2-13b-hf,552,1.0
meta-llama__Llama-2-13b-hf,553,1.0
meta-llama__Llama-2-13b-hf,554,1.0
meta-llama__Llama-2-13b-hf,555,1.0
meta-llama__Llama-2-13b-hf,556,1.0
meta-llama__Llama-2-13b-hf,557,1.0
meta-llama__Llama-2-13b-hf,558,1.0
meta-llama__Llama-2-13b-hf,559,1.0
meta-llama__Llama-2-13b-hf,560,1.0
meta-llama__Llama-2-13b-hf,561,1.0
meta-llama__Llama-2-13b-hf,562,1.0
meta-llama__Llama-2-13b-hf,563,1.0
meta-llama__Llama-2-13b-hf,564,1.0
meta-llama__Llama-2-13b-hf,565,1.0
meta-llama__Llama-2-13b-hf,566,0.0
meta-llama__Llama-2-13b-hf,567,1.0
meta-llama__Llama-2-13b-hf,568,0.0
meta-llama__Llama-2-13b-hf,569,0.0
meta-llama__Llama-2-13b-hf,570,1.0
meta-llama__Llama-2-13b-hf,571,1.0
